distance,magnitude,ra,dec,grvs_mag,x,y,z
314.83523278897644,5.174512282762851,48.10981175974319,6.660882342424615,4.0729275,162.83081973223747,181.54044711672688,28.47893576690452
368.29297978035424,5.451919834645221,44.26913576658498,4.501125525228609,3.3798056,211.2134345381473,205.8925473483446,23.219879651507025
254.77795564453345,4.800122762134706,41.33742169584141,4.7114504498852,5.6257663,133.01225018378716,117.00812971875726,14.600265750831777
273.4523666694479,4.925242434985016,45.46807230961405,5.336219193957437,4.9946938,139.80180770963463,142.10486817142308,18.619762142074283
259.97354821752987,4.835831392970997,44.05766181697293,8.38116469976781,5.356255,132.7355546991039,128.43964393429354,27.212634436182082
281.88655457027954,4.978975243509389,44.928756622077145,8.907313066231804,4.7562313,147.0591320730061,146.6938701441779,32.55444817316815
267.7944069282917,4.888259502972211,47.161619603691,8.47140235195367,5.0716376,132.60297944005154,143.00591696202426,29.046979235751845
236.884595813987,4.6713163149158206,47.66178887618479,11.872515688036836,5.984923,110.12637174748993,120.8652727905261,34.37550976282598
259.7294798609986,4.834169981334581,52.60189379567805,11.336366312512377,5.1332965,116.00737400902806,151.74174092612947,38.29284213659036
287.2631062884575,5.012395613376507,51.04231214101836,12.62950173067494,4.4874625,136.72166781638248,169.0923704752353,48.72368610915054
337.145553598558,5.295617151744567,38.96851868474252,5.593141310365199,3.8337135,201.8382557541513,163.26185482962507,25.422808370016412
294.0689013261706,5.0538142175989975,39.02838450657828,6.893339107578528,4.595589,167.81713932224685,136.03334949449234,26.116657845342722
278.53709095184604,4.9578313495693465,38.76719730257708,7.470469368702623,4.955243,156.01223102545592,125.29006211029954,26.237901458263607
392.1381316485588,5.562889329365415,43.44284397613784,9.335718309145488,3.105659,230.6897996096221,218.47949490286695,52.23335774639805
334.0865851269713,5.279494879465398,41.236830226139006,10.113961719979088,3.8211694,193.73799832814993,169.82489969240555,45.95625167313907
280.2684338675173,4.968792213316037,37.397324849783,9.565635854442906,4.906733,159.65754594723177,122.05559956173312,33.86720826127272
